variant,n,dv_mean,dv_median,dv_std,dh_mean,dh_median,dh_std,strict_pareto,time_mean
full,18,-50.0570812923765,-51.953725374254205,17.070555752477095,-5.098337481823862,3.8579147084167005,34.80528155132487,9/18,1.891241470972697
severity_weighted,18,-21.82305576507582,-20.12358318259547,16.90108046681451,43.68105016857136,42.84090965330091,23.533289995723973,1/18,1.5516533586714003
no_overlap,18,79.18985178849653,77.43259822524669,57.405284112342045,-85.03523294018807,-86.9350285684798,7.2291624510473635,0/18,1.4333204958173964
no_boundary,18,-82.87978047950621,-84.37899808821217,4.106056523672873,-8.878508238291674,2.089363060856826,30.751260750570818,9/18,1.7163556284374661
no_attract,18,-51.39835221807874,-52.787298529259154,18.46255325631125,138.39849914846528,125.13054381031877,53.580455480623684,0/18,1.443907618522644
no_repulsive,18,79.18985178849653,77.43259822524669,57.405284112342045,-85.03523294018807,-86.9350285684798,7.2291624510473635,0/18,1.459921916325887
random_select,18,-50.0570812923765,-51.953725374254205,17.070555752477095,-5.098337481823862,3.8579147084167005,34.80528155132487,9/18,1.5816342035929363
uniform_select,18,-50.0570812923765,-51.953725374254205,17.070555752477095,-5.098337481823862,3.8579147084167005,34.80528155132487,9/18,1.494788686434428
