circuit,delta_v_mean,delta_h_mean,n_seeds
adaptec1,-41.708482394812,226.15557560814977,3
adaptec2,-55.4611088346109,250.97219889893975,3
adaptec3,-51.02315920819813,123.96667125445173,3
adaptec4,-62.13066591925027,104.32011335371699,3
bigblue1,-19.961057783141534,142.12394653207397,3
bigblue3,-78.56866727851265,122.01058171501757,3
