circuit,baseline_v,baseline_h,cg_best_hp,cg_best_dv,cg_best_dh,repaint_best_hp,repaint_best_dv,repaint_best_dh,vsr_post_dv,vsr_post_dh
adaptec1,18625,98,0.5,-8.714093959731544,211.22448979591834,0.1,110.79194630872485,-18.367346938775512,-31.7696876374835,-17.068026699372307
adaptec2,39073,17207,0.5,-16.456376525989814,19.62573371302377,0.5,-8.924321142476902,-31.277968268727847,-53.82310573321809,-17.32897564438933
adaptec3,40251,44055,2.0,-2.131624059029589,11.821586653047326,0.1,107.98737919554793,-47.97639314493247,-56.086422784188564,20.812003670889077
adaptec4,107494,60955,0.5,-4.263493776396822,-0.8383233532934131,0.1,165.72925000465142,-61.55196456402264,-63.241072435358106,-4.6674825098682975
bigblue1,11360,12,0.5,-5.492957746478874,16.666666666666664,0.1,115.29049295774647,-75.0,-13.673526924161264,-70.68997449054318
bigblue3,240056,99023,2.0,-29.366064584930186,7.756783777506236,0.3,-66.82065851301363,-57.71083485654847,-80.33678211925171,16.895066407085952
