circuit,lam_strictpar,test_dv_a,test_dh_a,test_strict_a,lam_paretoimp,test_dv_b,test_dh_b,test_strict_b
adaptec1,8.0,-39.39591067884686,-34.408159098437764,True,8.0,-39.39591067884686,-34.408159098437764,True
adaptec2,8.0,-48.91746580594867,-32.473824684282825,True,8.0,-48.91746580594867,-32.473824684282825,True
adaptec3,8.0,-54.744999242281914,-13.569030700222054,True,8.0,-54.744999242281914,-13.569030700222054,True
adaptec4,8.0,-54.87412224519377,-41.56783482222747,True,8.0,-54.87412224519377,-41.56783482222747,True
bigblue1,8.0,-23.47508176934305,-72.49507619542239,True,8.0,-23.47508176934305,-72.49507619542239,True
bigblue3,8.0,-70.10833309513202,-32.71099495046498,True,8.0,-70.10833309513202,-32.71099495046498,True
