circuit,lambda,delta_v_mean,delta_v_std,delta_h_mean,delta_h_std,n_seeds
adaptec1,0.0,-41.708482394812,4.2144232377253195,226.15557560814977,129.31621533267244,3
adaptec1,0.25,-39.505805341146925,3.3336075512906613,87.13246171148865,36.12651707473533,3
adaptec1,0.5,-40.10813624801042,2.5540100759497384,47.467787257925245,21.625602382868454,3
adaptec1,1.0,-36.368213546206974,4.226235627421887,31.08593076686318,32.63421121837464,3
adaptec1,2.0,-36.95069011759501,2.779529773390337,-7.343398817749059,29.515610653114386,3
adaptec1,4.0,-34.50115012022761,5.146839830669833,-3.6655171624080465,11.124500798192054,3
adaptec2,0.0,-55.4611088346109,6.372634442688222,250.97219889893975,16.57129595425132,3
adaptec2,0.25,-48.24648655484373,4.292985972767214,128.13532945416716,22.45557951271291,3
adaptec2,0.5,-45.838072090914075,4.728627863904876,85.4273466837822,8.42961147642116,3
adaptec2,1.0,-44.569893141509084,7.230663366203418,50.27713252004123,14.18930720127756,3
adaptec2,2.0,-46.61117604947538,7.482923429702898,16.725233070781886,2.218777048490876,3
adaptec2,4.0,-39.92190933390336,10.541411594258962,-19.087143981126793,3.3211728206474764,3
adaptec3,0.0,-51.02315920819813,4.091818808801271,123.96667125445173,15.609886086511226,3
adaptec3,0.25,-50.62228754459021,4.049313859716362,75.89727199096154,17.223045910837186,3
adaptec3,0.5,-50.90547432923705,4.169569938589193,56.36498726774503,14.943301544689042,3
adaptec3,1.0,-50.95165877777026,3.417902845054188,34.458270885247465,11.432613206742028,3
adaptec3,2.0,-52.8643405418825,3.7470798555545195,17.52234526008147,9.157601408027755,3
adaptec3,4.0,-55.194258070040306,3.8689261356895828,3.4430728822490093,10.232107926779236,3
adaptec4,0.0,-62.13066591925027,0.0769497810909756,104.32011335371699,20.365631274684215,3
adaptec4,0.25,-60.92354927398909,0.12506878056821685,62.73152637794594,7.503072026341923,3
adaptec4,0.5,-60.649524701321894,0.5364752557016608,36.294433226734284,1.7615190020671379,3
adaptec4,1.0,-60.79307308828171,0.6226140224764238,6.858233043848313,2.221033691491148,3
adaptec4,2.0,-58.397348352008734,1.1910946591842295,-11.390391781855044,0.9300687697456443,3
adaptec4,4.0,-56.79664284958169,1.4166353806472978,-25.499874586822482,3.6464008584797543,3
bigblue1,0.0,-19.961057783141534,9.328517474844162,142.12394653207397,53.99197707628615,3
bigblue1,0.25,-18.741330533543522,10.193762554746755,-22.325208912069108,23.848776245218925,3
bigblue1,0.5,-22.946816889256734,12.19800803711292,-61.20061574844411,13.26948498078611,3
bigblue1,1.0,-23.396218007926556,11.617786702027011,-77.02892630029869,8.744445544771601,3
bigblue1,2.0,-25.53920551542664,10.819313096414058,-73.48845189305585,5.385694374918411,3
bigblue1,4.0,-22.565984906753453,12.22133520043069,-75.85032648056988,4.030742554297963,3
bigblue3,0.0,-78.56866727851265,0.9680117676472357,122.01058171501757,17.39051760187583,3
bigblue3,0.25,-78.42490107085996,3.4794974335064714,72.34145644374264,2.576070062014888,3
bigblue3,0.5,-79.00443211460198,2.836710357078869,54.496843198827584,2.6200179331260283,3
bigblue3,1.0,-79.23173593057565,3.145394351441396,37.39619117520521,1.5588491165875358,3
bigblue3,2.0,-79.25022013004536,2.609145992940573,19.522263768821436,1.3666800512898127,3
bigblue3,4.0,-78.54278887716862,3.543272122242795,-3.9486826451915698,3.4452005205389127,3
