circuit,num_steps,delta_v_mean,delta_h_mean,time_mean,n_seeds
adaptec1,25,-37.61240537591905,-10.597441306790861,0.3598339557647705,2
adaptec1,50,-41.69620784142952,-16.501803599770316,0.7378307580947876,2
adaptec1,100,-39.27096595038883,11.352230499611684,1.4432799816131592,2
adaptec1,200,-37.21307887159748,20.186707699962973,2.9475473165512085,2
adaptec1,500,-33.412616922100895,18.87908349255111,7.428490042686462,2
adaptec2,25,-41.277204485072275,14.566556870422728,0.30165576934814453,2
adaptec2,50,-52.05593891815894,10.208161967886038,0.6999717950820923,2
adaptec2,100,-48.399843893066745,11.422205017604444,1.4910879135131836,2
adaptec2,200,-43.71189444769667,9.629019243847631,2.9428815841674805,2
adaptec2,500,-45.758858418016345,6.6892591652637305,7.674533009529114,2
adaptec3,25,-48.828946028403806,11.641150241621872,0.3432999849319458,2
adaptec3,50,-54.594841959621846,28.058730794418867,0.8521642684936523,2
adaptec3,100,-56.352725910969994,33.40134969585588,1.6951887607574463,2
adaptec3,200,-56.04010191922252,28.706150175219882,3.547652840614319,2
adaptec3,500,-57.9518665458712,28.526489375497754,10.376902341842651,2
adaptec4,25,-55.35326838518313,-4.13919462957889,0.7329939603805542,2
adaptec4,50,-59.41331357178369,-6.780143983430162,1.560133934020996,2
adaptec4,100,-59.02559319382445,-11.387432018597172,3.554652214050293,2
adaptec4,200,-59.44347487320827,-13.741422265670533,10.189208984375,2
adaptec4,500,-56.367138508396096,-10.730382680806805,22.837563395500183,2
bigblue1,25,-20.930630615263755,-69.19286786324612,0.32026147842407227,2
bigblue1,50,-20.9645348209133,-80.49327423972157,0.7041623592376709,2
bigblue1,100,-18.328301450527874,-76.27983151294144,1.52957022190094,2
bigblue1,200,-22.84483085387545,-64.62359528792554,3.2403347492218018,2
bigblue1,500,-19.21212951459862,-54.1619136864525,7.068635702133179,2
bigblue3,25,-69.41124837763846,12.389441222811886,0.8842087984085083,2
bigblue3,50,-74.99453740341919,17.259937484226647,1.7971254587173462,2
bigblue3,100,-81.05879096974064,15.171396426684225,3.8832178115844727,2
bigblue3,200,-80.91670543734165,-15.448359874794292,7.887209057807922,2
bigblue3,500,-83.37559906050109,-18.832026401941704,23.432673931121826,2
