circuit,n_seeds,base_v,base_oa,base_full_h,post_v,post_oa,post_full_h,intra_v,intra_oa,intra_full_h,post_dv_pct,post_doa_pct,post_dh_full_pct,intra_dv_pct,intra_doa_pct,intra_dh_full_pct
adaptec1,4,19948,15099.835205078125,263326.21875,12867,5317.95068359375,286343.6640625,20647.25,15374.332275390625,259709.4765625,-35.497292961700424,-64.78139919165935,8.74103817757418,3.505363946260277,1.817881232373885,-1.3734835082767465
adaptec2,4,33463.25,64364.623046875,410660.375,17219.5,22968.18212890625,283245.3359375,33660.5,65189.4443359375,410692.8828125,-48.54205733155028,-64.31551830548413,-31.026864732809926,0.5894526084585329,1.281482357881293,0.007915984711210572
adaptec3,4,38702.75,445758.15625,835010.265625,18669.25,142103.828125,1446224.53125,38905,452198.21875,803730.734375,-51.76247165899064,-68.12086865208089,73.19841333537498,0.522572685403492,1.4447436148286967,-3.746005592708188
adaptec4,4,104091.5,744112.96875,860150.453125,43657.5,219211.44921875,1131709.0,110753,769571.9375,862178.71875,-58.05853503888406,-70.54056864685575,31.571052004728315,6.3996579932078985,3.4213848997642535,0.23580358734116083
bigblue1,4,10654,5763.362548828125,177104.625,8639.25,2507.6536865234375,199348.10546875,10794,5850.605712890625,173703.15625,-18.910737751079406,-56.48974595510526,12.559514167825938,1.314060446780552,1.5137545716300513,-1.9205984880406142
bigblue3,4,184756,1056215.625,3675373.3125,39630.75,206958.25,3178900.9375,178080.25,1101105.21875,3572541.0625,-78.5496817424062,-80.40568184171674,-13.508080208110831,-3.613279135724956,4.250040681797337,-2.7978722501539086
